Date,p1ex_position,p1ey_position,p1ex_width,p1ey_width
2019-11-28,-0.6446,0.2463,1.564,1.2233
2019-11-29,-0.7316,0.2272,1.5857,1.2265
2019-12-03,-0.7645,0.1863,1.5828,1.245
2019-12-05,-0.7783,0.1635,-0.7783,1.2506
2019-12-11,-0.7778,0.2534,1.5862,1.2407
2019-12-16,-0.8051,0.1923,1.597,1.2631
2019-12-23,-0.7885,0.1485,1.5905,1.2648
2019-12-24,-0.7803,0.2209,1.5896,1.2595
2019-12-26,-0.7782,0.2204,1.5849,1.2525
2019-12-27,-0.7652,0.1746,1.5861,1.2605
2019-12-28,-0.7718,0.276,1.5839,1.2515
2019-12-30,-0.7775,0.2134,1.5838,1.2525
2019-12-31,-0.7739,0.1735,1.5804,1.2528
2020-01-09,-0.771,0.2475,1.5797,1.2408
2020-01-10,-0.79,0.1974,1.5868,1.2451
2020-01-14,-0.77,0.2,1.58,1.25
2020-01-21,-0.7777,0.2441,1.5827,1.2338
2020-01-22,-0.7783,0.2166,1.5822,1.2403
2020-01-24,-0.7674,0.2237,1.5824,1.2454
2020-01-27,-0.7985,0.1874,1.5842,1.2492
2020-01-28,-0.7705,0.2247,1.5818,1.2419
2020-01-29,-0.77,0.2217,1.5875,1.2473
2020-01-30,-0.7657,0.2185,1.5806,1.2471
2020-02-01,-0.7696,0.1526,1.5876,1.2642
2020-02-04,-0.8077,0.1764,1.5875,1.2512
2020-02-06,-0.7599,0.2157,1.5809,1.2479
2020-02-10,-0.75,0.225,1.5782,1.2401
2020-02-11,-0.7557,0.2726,1.5805,1.2442
2020-02-12,-0.7503,0.237,1.5793,1.2452
2020-02-13,-0.7519,0.2263,1.5797,1.2506
2020-02-14,-0.9989,0.1433,1.578,1.2386
2020-02-17,-0.7568,0.2083,1.5785,1.242
2020-02-20,-0.7744,0.2096,1.5858,1.2609
2020-02-21,-0.7973,0.2046,1.5848,1.2397
2020-02-24,-0.7703,0.1699,1.5867,1.2629
2020-02-25,-0.7763,0.2307,1.5854,1.2519
2020-02-26,-0.7763,0.2307,1.5854,1.2519
2020-02-27,-0.7601,0.2294,1.5819,1.2513
2020-02-28,-0.7618,0.2214,1.5804,1.25
2020-03-02,-0.7655,0.2142,1.5822,1.248
2020-03-03,-0.7599,0.2191,1.5819,1.2489
2020-03-04,-0.7616,0.2097,1.5847,1.2513
2020-03-05,-0.7529,0.2052,1.5846,1.2561
2020-03-09,-0.9325,0.0794,1.5784,1.2375
2020-03-10,-0.7454,0.2324,1.5764,1.2401
2020-03-12,-0.7454,0.2324,1.5764,1.2401
2020-03-13,-0.7428,0.2182,1.5793,1.2497
2020-03-16,-0.781,0.1939,1.5791,1.2431
2020-03-17,-0.8981,0.1999,1.575,1.244
2020-03-18,-0.7317,0.2139,1.575,1.2461
2020-03-19,-0.732,0.2162,1.5738,1.2444
2020-03-20,-0.723,0.2199,1.5717,1.2443
2020-03-23,-0.7445,0.2627,1.5728,1.2422
2020-03-25,-0.724,0.2211,1.5735,1.2485
2020-03-26,-0.7117,0.1686,1.5738,1.2634
2020-04-02,-0.7831,0.1519,1.5727,1.2388
2020-04-03,-0.7198,0.2258,1.5722,1.2382
2020-04-07,-0.7089,0.2175,1.5727,1.2461
2020-04-08,-0.7075,0.2081,1.5728,1.2509
2020-04-09,-0.7056,0.2125,1.5689,1.2488
2020-04-13,-0.7068,0.3125,1.5615,1.2391
2020-04-14,-0.7342,0.197,1.5676,1.2485
2020-04-16,-0.8882,0.0716,1.5718,1.2566
2020-04-17,-0.7945,-0.1978,1.5695,1.26
2020-04-20,-0.7044,0.2123,1.5582,1.2416
2020-04-21,-0.7035,0.205,1.5605,1.248
2020-04-22,-0.7018,0.2056,1.5589,1.2443
2020-04-29,-0.6392,0.183,0.9872,1.0781
2020-05-05,-0.6479,0.1449,0.9887,1.0868
2020-05-06,-0.6453,0.1685,0.9907,1.0784
2020-05-07,-0.6386,0.1607,0.9886,1.0816
2020-05-08,-0.6445,0.1551,0.9902,1.0814
2020-05-11,-0.6446,0.1798,0.9873,1.0675
2020-05-12,-0.6483,0.1663,0.9895,1.0669
2020-05-13,-0.6442,0.1665,0.9875,1.0734
2020-05-14,-0.6405,0.1586,0.9906,1.0744
2020-05-18,-0.9508,-0.0122,0.9913,1.0937
2020-05-19,-0.6603,0.1817,0.9875,1.0617
2020-05-21,-0.723,0.1011,0.9869,1.0665
2020-05-22,-0.6473,0.1632,0.9894,1.073
2020-05-26,-0.6425,0.1546,0.9922,1.0884
2020-05-29,-0.6434,0.1139,0.9871,1.0995
2020-06-15,-0.6985,0.173,0.9889,1.0633
2020-06-16,-0.705,0.1887,0.9891,1.0532
2020-06-17,-0.705,-0.2028,0.9892,1.0463
2020-06-18,-0.7067,0.204,0.9906,1.0475
2020-06-19,-0.7009,0.1885,0.9918,1.0597
2020-06-20,-0.9871,0.0597,0.9894,1.0414
2020-06-22,-0.699,0.186,0.9898,1.0506
2020-06-24,-0.6982,0.4936,0.9885,1.0633
2020-07-09,-0.6893,0.2034,0.9922,1.0417
2020-07-11,-0.6962,0.1859,0.9933,1.0541
2020-07-16,-0.7097,0.2197,0.9882,1.034
2020-07-30,-0.7801,0.2032,19.9405,7.078
2020-07-31,-0.7884,0.2095,0.9879,1.0205
2020-08-04,-0.792,0.2611,0.9849,1.0266
2020-08-05,-0.7597,0.2043,0.9869,1.0306
2020-08-06,-0.74,0.1488,0.9872,1.05
2020-08-07,-0.79,0.21,0.98,1.01
2020-08-10,-0.81,0.076,0.9877,1.05
2020-08-11,-0.8485,0.1036,0.9899,1.0215
2020-08-12,-0.7918,0.3295,0.9884,1.0172
2020-08-13,-0.745,0.2185,0.9892,1.0149
2020-08-14,-0.7445,0.2081,0.9873,1.0157
2020-08-17,-0.7404,0.2014,0.9899,1.029
2020-08-18,-0.7379,0.1588,0.9899,1.0532
2020-08-19,-0.759,0.2121,0.988,1.0145
2020-08-20,-0.7859,0.2253,0.9875,1.0189
2020-08-21,-0.779,0.2119,0.9912,1.0213
2020-08-24,-0.7343,0.2028,0.9883,1.0314
2020-08-25,-0.7793,0.2164,0.988,1.0207
2020-08-26,-0.7443,0.1915,0.9868,1.0337
2020-08-27,-0.7312,0.1864,0.9881,1.0293
2020-08-28,-0.7342,0.2115,0.9856,1.0239
2020-08-31,-0.7819,0.1655,0.9876,1.0216
2020-09-01,-0.7322,0.2223,0.9858,1.0242
2020-09-02,-0.7695,0.2065,0.9858,1.0272
2020-09-03,-0.8443,0.1896,0.9862,1.0341
2020-09-04,-0.8131,0.1959,0.9894,1.0305
2020-09-07,-0.82,0.39,0.99,1.02
2020-09-08,-0.77,0.24,0.98,1.04
2020-09-09,-0.81,0.17,0.99,1.05
2020-09-10,-0.777,0.203,0.985,1.032
2020-09-11,-0.82,0.21,0.98,1.02
2020-09-15,-1.0508,0.0265,0.9887,1.0373
2020-09-16,-0.814,0.2031,0.9946,1.0262
2020-09-17,-0.7708,0.1302,0.9924,1.0598
2020-09-18,-0.7681,0.197,0.9892,1.0256
2020-09-21,-0.7812,0.112,0.9883,1.1046
2020-09-22,-0.8186,0.2097,0.987,1.0884
2020-09-23,-0.78,0.12,0.99,1.09
2020-09-24,-0.7788,0.1143,0.9908,1.096
2020-09-25,-0.78,0.13,0.98,1.08
2020-09-29,-0.7596,0.115,0.9846,1.0996
2020-09-30,-0.8073,0.1281,0.9907,1.0932
2020-10-01,-0.772,0.122,0.984,1.0965
2020-10-02,-0.8134,0.0573,0.9886,1.1153
2020-10-06,-0.762,0.091,0.9914,1.1052
2020-10-07,-0.7606,0.1141,0.9914,1.0988
2020-10-08,-0.7592,-0.1088,0.9885,1.1051
2020-10-09,-0.8107,0.1121,0.9837,1.0894
2020-10-10,-0.7933,0.1905,0.9869,1.0926
2020-10-14,-0.7966,0.1493,0.9881,1.0895
2020-10-15,-0.75,0.14,0.99,1.08
2020-10-16,-0.79,0.15,0.99,1.08
2020-10-19,-0.7459,0.142,0.9936,1.086
2020-10-20,-0.7883,0.1237,0.9931,1.085
2020-10-21,-0.7947,0.0971,0.9895,1.0908
2020-10-22,-0.7883,0.091,0.9965,1.0982
2020-10-23,-0.9701,-0.0463,0.9917,1.0932
2020-10-26,-0.81,0.14,0.99,1.09
2020-10-27,-0.7516,0.0933,0.989,1.0938
2020-10-28,-0.79,0.1,0.99,1.09
2020-10-29,-0.7549,0.0903,0.992,1.0959
2020-10-30,-0.79,0.11,0.99,1.09
2020-11-04,-0.7931,0.0948,0.989,1.093
2020-11-05,-0.7888,0.0902,0.9851,1.093
2020-11-06,-0.748,0.0844,0.9922,1.1001
2020-11-10,-0.97,0.01,0.99,1.11
2020-11-11,-0.7834,0.2451,0.9904,1.1018
2020-11-12,-0.79,0.09,0.99,1.1
2020-11-13,-0.7834,0.2451,0.9904,1.1018
2020-11-16,-0.741,0.0702,0.9913,1.1001
2020-11-17,-1.01,-0.08,0.99,1.1
2020-11-18,-0.78,0.07,0.99,1.1
2020-11-20,-0.97,-0.09,0.99,1.1
2020-11-23,-0.8,0.084,0.9879,1.101
2020-11-24,-0.7877,0.0776,0.9906,1.102
2020-11-25,-0.7499,0.0746,0.9889,1.0987
2020-11-26,-0.7938,0.0835,0.9878,1.0966
2020-11-27,-0.7937,0.0851,0.9931,1.102
2020-11-30,-1.0469,-0.0379,0.9908,1.0973
2020-12-01,-0.75,0.09,0.99,1.1
2020-12-02,-0.8521,0.019,0.9937,1.0987
2020-12-03,-0.78,0.1,0.99,1.09
2020-12-04,-0.7882,0.0881,0.9913,1.0899
2020-12-10,-0.6872,0.1349,0.9969,1.0558
2020-12-12,-0.7206,0.0572,0.9975,1.0977
2020-12-16,-0.7665,0.0644,0.9874,1.0982
2020-12-18,-0.77,0.069,0.987,1.103
2020-12-19,-0.8546,-0.0119,0.9872,1.0994
2020-12-21,-0.8693,-0.0066,0.9864,1.0931
2020-12-22,-0.7961,0.0549,0.9908,1.1055
2020-12-23,-0.9948,-0.0878,0.9891,1.0969
2020-12-24,-0.7606,0.0525,0.9912,1.1054
2020-12-28,-0.7618,0.0861,0.9875,1.0885
2020-12-29,-0.7593,0.1041,0.989,1.0816
2020-12-31,-0.7927,0.114,0.9919,1.0888
2021-01-04,-0.7664,-0.0038,0.9891,1.105
2021-01-05,-0.8104,0.0584,0.9909,1.1044
2021-01-07,-0.7681,0.0627,0.9873,1.1054
2021-01-08,-0.8406,0.0094,0.9906,1.1064
2021-01-11,-0.7603,0.0548,0.9864,1.1044
2021-01-12,-0.7515,0.0057,0.9865,1.108
2021-01-13,-0.7926,0.0615,0.9911,1.1027
2021-01-14,-0.7927,0.0964,0.9927,1.1068
2021-01-15,-0.789,0.0097,0.9888,1.1088
2021-01-19,-0.763,0.063,0.985,1.102
2021-01-20,-0.9539,0.0078,0.9874,1.1052
2021-01-21,-0.7422,-0.0045,0.986,1.104
2021-01-22,-0.7822,0.0388,0.9881,1.1061
2021-01-25,-0.7854,-0.0331,0.9879,1.1038
2021-01-26,-0.7881,-0.0446,0.9872,1.0984
2021-01-27,-0.9199,-0.1888,0.9937,1.1032
2021-01-28,-0.7468,-0.1008,0.9914,1.0834
2021-01-29,-0.818,-0.1246,0.9939,1.1053
2021-02-01,-0.758,-0.0137,0.9845,1.1031
2021-02-02,-0.7698,-0.019,4.73,0.992
2021-02-03,-0.7581,-0.0423,0.9918,1.1104
2021-02-04,-0.8281,-0.0958,0.9911,1.1077
2021-02-05,-0.7389,-0.0176,0.9873,1.1021
2021-02-06,-0.7693,-0.016,0.9903,1.1062
2021-02-08,-0.7653,-0.0072,0.9883,1.1038
2021-02-09,-0.7652,-0.0043,0.9881,1.1051
2021-02-10,-0.726,-0.009,0.987,1.105
2021-02-11,-0.7021,-0.0007,0.9916,1.1097
2021-02-12,-0.872,-0.153,0.988,1.107
2021-02-15,-0.7154,0.0172,0.9857,1.1045
2021-02-18,-0.7507,0.0227,0.9895,1.1042
2021-02-19,-0.7218,0.0281,4.82,0.9899
2021-02-23,-0.7896,0.0733,0.99,1.0906
2021-02-24,-0.7701,0.0787,0.992,1.0894
2021-02-25,-0.7348,0.0653,0.9909,1.0923
2021-02-26,-0.7269,0.0721,0.9918,1.0906
2021-03-02,-0.737,0.063,0.986,1.092
2021-03-03,-0.9163,-0.083,0.9915,1.0915
2021-03-05,-0.7348,0.0689,0.9908,1.0897
2021-03-06,-0.9636,-0.163,0.9888,1.109
2021-03-09,-0.7431,0.0726,0.9927,1.0927
2021-03-10,-0.7421,0.0584,0.9889,1.0875
2021-03-11,-0.8932,-0.0501,0.9906,1.0927
2021-03-12,-0.7739,0.0693,0.9899,1.0871
2021-03-16,-0.7704,0.0242,0.9935,1.1122
2021-03-17,-0.7369,0.0781,0.993,1.0899
2021-03-18,-0.7415,0.0553,0.9923,1.0917
2021-03-22,-0.7681,0.0645,0.9917,1.0915
2021-03-23,-0.7385,0.0574,0.9919,1.1008
2021-03-24,-0.7399,0.0665,0.9903,1.0901
2021-03-26,-0.7675,0.0705,0.9926,1.0911
2021-03-27,-0.7374,0.0758,0.993,1.0995
2021-03-30,-0.7327,0.0182,0.9924,1.1104
2021-04-01,-0.7684,0.063,0.9915,1.0919
2021-04-05,-0.743,0.0945,0.9876,1.0802
2021-04-06,-0.737,0.073,0.991,1.092
2021-04-07,-0.7291,0.0356,0.9929,1.1124
2021-04-08,-0.7575,0.0865,0.9936,1.087
2021-04-09,-0.729,0.071,0.991,1.093
2021-04-10,-0.735,0.085,0.992,1.089
2021-04-12,-0.7574,0.1145,0.992,1.0741
2021-04-13,-0.7327,0.104,0.9888,1.0731
2021-04-14,-0.7376,0.0789,0.9917,1.0904
2021-04-15,-0.7572,0.0246,0.9921,1.1084
2021-04-16,-0.732,0.0281,0.9955,1.1116
2021-04-20,-0.737,0.0281,0.9908,1.0977
2021-04-21,-0.7311,0.0376,0.9956,1.1073
2021-04-22,-0.726,0.0202,0.9939,1.1099
2021-04-23,-0.7275,0.0427,0.9942,1.1103
2021-04-26,-0.7375,0.0306,0.9922,1.1069
2021-04-27,-0.7978,-0.0174,0.9937,1.1077
2021-04-28,-0.7667,0.0146,0.991,1.107
2021-04-30,-0.7365,0.0355,0.9916,1.1041
2021-05-04,-0.7361,0.0382,0.9939,1.1066
2021-05-05,-0.7264,-0.0103,0.9913,1.1064
2021-05-07,-0.7301,-0.0248,0.9958,1.1099
2021-05-08,-0.7336,0.0172,0.9964,1.1095
2021-05-11,-0.7261,0.037,0.9938,1.1047
2021-05-12,-0.7764,0.0353,0.9832,1.1081
2021-05-13,-0.7381,0.045,0.9917,1.106
2021-05-14,-0.7219,0.029,0.9953,1.1074
2021-05-18,-0.7253,0.0266,0.9958,1.1089
2021-05-19,-0.725,0.0853,0.9948,1.1059
2021-05-20,-0.7217,0.0345,0.9947,1.1063
2021-05-21,-0.7256,0.025,0.9965,1.1119
2021-05-26,-0.7097,0.0302,0.9986,1.1098
2021-05-27,-0.7107,0.0281,0.9944,1.1095
2021-06-01,-0.719,-0.0693,0.9986,1.0982
2021-06-02,-0.7359,-0.033,0.9929,1.1015
2021-06-03,-0.726,-0.0521,0.9948,1.1017
2021-06-04,-0.7513,-0.0003,0.996,1.1066
2021-06-09,-0.7569,0.0206,0.9928,1.1048
2021-06-10,-0.7306,-0.0007,0.9959,1.1807
2021-06-11,-0.7262,0.0136,0.9964,1.1059
2021-06-16,-0.7237,0.0272,0.9945,1.1026
2021-06-17,-0.7336,0.0093,0.9987,1.1092
2021-06-18,-0.721,-0.0055,0.999,1.1085
2021-06-22,-0.7374,0.0167,0.9921,1.1018
2021-06-23,-0.7228,0.0152,0.9931,1.1022
2021-06-24,-0.7277,0.0366,0.9946,1.1032
2021-06-25,-0.7187,0.0231,0.998,1.1078
2021-06-28,-0.7428,0.0921,0.9928,1.0984
2021-06-29,-0.7224,0.0334,0.994,1.104
2021-06-30,-0.7125,0.0321,0.9978,1.107
2021-07-02,-0.7462,0.062,0.9962,1.1
2021-07-06,-0.7089,0.0535,0.999,1.1006
2021-07-08,-0.7361,0.0471,0.9983,1.1009
2021-07-09,-0.7174,0.062,0.9987,1.0998
2021-07-13,-0.7161,0.0728,0.9975,1.0915
2021-07-14,-0.747,0.0791,0.9909,1.0882
2021-07-19,-0.7163,0.102,0.9976,1.0766
2021-07-20,-0.719,0.0978,0.9963,1.0763
2021-07-21,-0.7265,0.0449,0.993,1.097
2021-07-22,-0.7133,0.1095,0.9984,1.0712
2021-07-23,-0.7142,0.1094,0.9968,1.0651
2021-08-03,-0.7072,0.063,0.997,1.1067
2021-08-04,-0.7313,0.0631,0.9957,1.1004
2021-08-05,-0.7183,0.0745,0.997,1.1002
2021-08-11,-0.7147,0.0188,1.002,1.1108
2021-08-13,-0.7154,0.087,0.9981,1.0882
2021-08-14,-0.7275,0.1028,0.9947,1.0819
2021-08-16,-0.7198,0.0673,0.9978,1.1001
2021-08-17,-0.7222,0.1418,0.9937,1.0582
2021-08-18,-0.7207,0.1677,0.9977,1.0664
2021-08-19,-0.7284,0.0607,0.9969,1.0953
2021-08-20,-0.731,0.1364,0.9973,1.0607
2021-08-24,-0.708,0.128,0.999,1.065
2021-08-25,-0.698,0.1173,1.0004,1.0776
2021-08-26,-0.7062,0.1686,0.9985,1.0707
2021-08-27,-0.7091,0.0633,0.9974,1.0982
2021-08-30,-0.7098,0.0416,0.9937,1.0923
2021-09-07,-0.7027,0.0259,0.9978,1.1088
2021-09-08,-0.7085,0.0945,0.9978,1.0915
2021-09-09,-0.7085,0.0836,0.9988,1.0952
2021-09-10,-0.7044,0.0921,0.9986,1.0955
2021-09-13,-0.6976,0.0955,0.9905,1.0823
2021-09-14,-0.6905,0.007,1.0022,1.1123
2021-09-15,-0.8678,-0.0289,0.9963,1.0817
2021-09-16,-0.6949,0.0977,1.0026,1.0923
2021-09-17,-0.7153,0.105,1.0004,1.0916
2021-09-25,-0.726,0.1489,1.0001,1.0691
2021-10-06,-0.6839,0.1239,0.9994,1.0769
2021-10-07,-0.6846,0.1153,0.9984,1.0748
2021-10-08,-0.6857,0.1412,0.9974,1.0623
2021-10-09,-0.6874,0.1515,0.9976,1.0536
2021-10-14,-0.6945,0.1443,0.9969,1.0524
2021-10-18,-0.6801,0.1118,0.9988,1.0734
2021-10-20,-0.7068,0.1601,0.9988,1.0543
2021-10-21,-0.7923,0.0437,0.9962,1.0646
2021-10-27,-0.6587,0.1027,0.9987,1.0718
2021-10-29,-0.6544,0.1078,0.9985,1.0691
2021-11-03,-0.6682,0.0037,0.9986,1.1039
2021-11-05,-0.6664,0.0439,0.9986,1.0988
2021-11-08,-0.6624,0.0794,0.9987,1.0869
2021-11-09,-0.6574,0.0597,0.9972,1.0897
2021-11-10,-0.6638,0.0316,0.9976,1.1032
2021-11-11,-0.6619,0.079,0.9983,1.092
2021-11-12,-0.6555,0.0767,1.0007,1.0878
2021-11-16,-0.6682,0.0927,0.9996,1.0747
2021-11-17,-0.6527,0.0008,1.0001,1.1073
2021-11-18,-0.6544,0.0904,0.9995,1.0712
2021-11-25,-0.6723,0.0595,0.9981,1.0829
